Home/Neutral,PTS,Visitor/Neutral,PTS_1,Spread,Total,Result,Home_AdjOE,Home_Off_TO,Home_Off_OR,Home_Off_FTRate,Home_AdjDE,Home_Def_TO,Home_Def_OR,Home_Def_FTRate,Home_3P,Home_2P,Home_FT,Home_Tempo_Adj,Home_Avg_Poss_Length_Offense,Home_Avg_Poss_Length_Defense,Home_EffHgt,Home_Experience,Home_Continuity,Home_Best_Rank,Home_Top_50_Finishes,Home_opp_shooting_3P,Home_opp_shooting_2P,Home_opp_shooting_FT,Away_AdjOE,Away_Off_TO,Away_Off_OR,Away_Off_FTRate,Away_AdjDE,Away_Def_TO,Away_Def_OR,Away_Def_FTRate,Away_3P,Away_2P,Away_FT,Away_Tempo_Adj,Away_Avg_Poss_Length_Offense,Away_Avg_Poss_Length_Defense,Away_EffHgt,Away_Experience,Away_Continuity,Away_Best_Rank,Away_Top_50_Finishes,Away_opp_shooting_3P,Away_opp_shooting_2P,Away_opp_shooting_FT,Predicted_score_Home,Predicted_score_away,Predicted_tempo,Predicted_spread,Predicted_total,Predicted_Result
Iowa St.,77,Baylor,62,15,139,1,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,70.86142556,70.28052556,65.65,-0.5809,141.1419511,1
Kansas,69,Oklahoma St.,67,2,136,1,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,70.38283939,65.94593939,68.3,-4.4369,136.3287788,1
Kansas St.,82,West Virginia,76,6,158,1,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,74.0884595,73.1396595,68.9,-0.9488,147.228119,1
Oklahoma,69,Texas,70,-1,139,0,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,70.56116913,74.68496913,66.95,4.1238,145.2461383,0
TCU,67,Texas Tech,61,6,128,1,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,74.71752612,67.72552612,68.65,-6.992,142.4430522,1
Oklahoma St.,67,West Virginia,60,7,127,1,108,20.9,31.4,31.3,90.3,19.5,28.4,31.5,32.7,50.9,71.3,67.5,17.2,17.7,1.4,108,47.5,20.06,7,29.4,43.2,74.8,116.8,17.9,34.1,42.3,96.4,21.3,28,40.4,35.1,52.2,72,68.3,17.8,16.6,0.9,116.8,17,20.59,12,31.6,50.5,71.2,69.02882598,69.36212598,67.9,0.3333,138.390952,0
Texas,103,Kansas St.,116,-13,219,0,117.9,17.1,29.7,31.7,95.8,22.2,28.7,34.8,33,56,75,69.2,16.2,17.7,-0.7,117.9,47.1,27.42,12,32.4,48.3,72.1,113.9,19.4,31.8,38,94.3,21.4,29.8,36.7,35.3,51,75.1,69.5,16.5,17.7,0.9,113.9,19.2,15.99,3,28.6,49,67.9,75.88019958,72.64644958,69.35,-3.23375,148.5266492,1
Texas Tech,72,Kansas,75,-3,147,0,110.2,19.9,32.1,37.5,99.2,21.5,30.1,28.4,33.8,53.9,70.4,67.1,17.3,17.7,0.4,110.2,19.2,19.49,5,33.1,48.8,70.8,115.5,17.7,30.3,30.3,93.5,20.3,27.9,32.8,35.3,52,72.8,69.1,16.4,17.7,0.3,115.5,36.9,36.45,25,31.6,46.8,72.9,68.75103268,74.74203268,68.1,5.991,143.4930654,0
Baylor,87,TCU,88,-1,175,0,120.8,17.7,36.7,38.2,99.5,20.7,28.8,32.4,35.8,51.7,75,67.1,17.5,17.4,0.5,120.8,40.4,22.31,8,32.6,51.5,71.1,112.4,16.9,32.7,35.5,93.4,22.8,31.2,29,28.7,53.2,71.6,70.2,16,17.8,0.2,112.4,78.6,10.58,2,30.2,47.6,68.6,76.50242612,73.42347612,68.65,-3.07895,149.9259022,1
Oklahoma,60,Iowa St.,63,-3,123,0,112.3,19.7,23.1,28.9,98.6,15.3,27.3,30.2,35.3,53.7,73,64.7,18.2,18,0.7,112.3,46.2,21.28,8,29.8,47.9,72.4,111.1,19.2,34.2,25.9,91.2,26.9,28,40,35.1,51.9,66,64.2,18.6,17.4,0.4,111.1,40.5,18.12,7,31.8,49.3,71.4,65.01763534,67.51353534,64.45,2.4959,132.5311707,0
